title,author,publisher,date,format,contrib_personal,contrib_corporate,location
Reading Dick and Jane with me /,"Sligh, Clarissa T.","Clarissa Singh],",c1989.,[24] p. : ill. ;,,Visual Studies Workshop.,SOUTHERNCV N7433.4 .S58 R43 1989
Monroe's blues /,"Hughes, Langston, 1902-1967.","Stephen Sidelinger,",2012],1 folded sheet ([10] p.) : ill. ;,"Sidelinger, Stephen J., 1947-",,SOUTHCV-OV PS3515 .U274 M59 2012
[Sublime and ridiculous /,"Sidelinger, Stephen J., 1947-","Stephen Sidelinger,",2012],"2 v. ([28], [24] leaves) : all col. ill. ;",,,SOUTHERNCV N7433.4 .S53 S83 2012
The other side lingr /,"Sidelinger, Stephen J., 1947-","Stephen Sidelinger,",2012],1 v. (unpaged) : chiefly ill. ;,,,SOUTHCV-OV N7433.4 .S53 O84 2012
Woulda coulda shoulda /,"Sidelinger, Stephen J., 1947-","Stephen Sidelinger,",2010],[54] leaves : col. ill. ;,,,SOUTHCV-OV N7433.4 .S53 W68 2010
Make a face /,"Sidelinger, Stephen J., 1947-","Stephen Sidelinger,",20--?],[14] leaves : all col. ill. ;,,,SOUTHCV-OV N7433.4 .S53 M35 2000z
Pussy pirates /,"Sidelinger, Stephen J., 1947-","Stephen Sidelinger,",20--],"1 portfolio : A single-instance (one of a kind) artist's book. Consists of 19 unbound bifolios on heavy paper, plus a title leaf on the same stock, in a portfolio of boards covered in green silk with ""PP"" embossed on front board. The second page of each bifolio contains a brief printed text, whimsical in tone, with handwritten additions of punctuation, emendations and/or decorations of the text. The third page of each bifolio bears an illustration executed in gouache and pen. Both the text and the illustration are bordered by plain sheets with appropriate cutouts mounted around them.  The portfolio is housed in a clamshell box (38 x 29 x 5 cm.) covered in wood-grain paper with faux metal straps and lined with green silk to match the portfolio. col. ill. ;",,,SOUTHCV-OV N7433.4 .S53 P87 2000z
Tantric.,"Sidelinger, Stephen J., 1947-",,[1992?],8 art originals : ink and gouache on paper ;,,,SOUTHCV-OV N7433.4 .S53 T36 1992
Blue Ridge bounty /,"Sharp, Sharon A.","Curious Pursuits Press,",c2010.,6 leaves : col. ill. ;,,Curious Pursuits Press.,SOUTHERNCV N7433.4 .S43 B58 2010
Eight-word autumn scene /,"Sharp, Sharon A.","Curious Pursuits Press,",c2010.,[10] leaves : col. ill. ;,,Curious Pursuits Press.,SOUTHERNCV N7433.4 .S43 E54 2010
Sensual bark /,"Rezny, Mary S.,","Mary S. Rezny,",2011],17 unnumbered pages : color illustrations ;,,,SOUTHERNCV N7433.4 .R49 S46 2011
White bird-- /,"Rezny, Mary S.","Mary S. Rezny],",2011.,[10] p. : chiefly col. ill. ;,,,SOUTHERNCV N7433.4 .R49 W48 2011
"Fish in the sky, OH MY! /","Rezny, Mary S.","Mary S. Rezny],",c2010.,[12] p. : col. ill. ;,,,SOUTHERNCV N7433.4 .R49 F57 2010
Lissen here! /,"Jones, Dorothy Mallory.","s.n.,",2005?],[49] leaves : ill. (some col.) ;,"Jones, Philip Mallory.",,SOUTHCV-OV PS3610 .O6244 L57 2005
Alabama kitchen : recipes for the Southerner and the Southerner-at-heart /,"Herlocker, Annie.","Paper Revival Press,",2010.,47 p. : ill. (some col.) ;,"Player, Lucy.",Paper Revival Press.,SOUTHERNCV TX715.2 .S68 H475 2010
[Let's eat].,"Herlocker, Annie.","Paper Revival Press],",2009.,[12] p. : ill. (some col.) ;,,Paper Revival Press.,SOUTHERNCV TX715.2 .S68 H47 2009
A tiny lesson in bee culture /,"Herlocker, Annie.","Wooden Nickel Press,",2008.,[7] p. : col. ill. ;,"Langstroth, L. L. (Lorenzo Lorraine), 1810-1895","Wooden Nickel Press (Northport, Ala.)",SOUTHERNCV N7433.4 .H475 T56 2008
Allowed to be /,"Herlocker, Annie.","Paper Revival Press,",2008.,[19] p. : ill. (some col.) ;,,Paper Revival Press.,SOUTHERNCV N7433.4 .H475 A45 2008
[Album chain book /,"Essig, Daniel, 1967-","D. Essig,",2011],[128] leaves ;,,,SOUTHERNCV N7433.4 .E88 A43 2011
[Horn book--fisher].,"Essig, Daniel, 1967-",,[2008],1 art original ;,,,SOUTHCV-OV N7433.4 .E88 H676 2008
Gentle men /,"Blum, Alan, M.D.","Firebrand Press,",2011.,[32] p. : ill. ;,,Firebrand Press.,SOUTHERNCV PS3602 .L86 G46 2011
Ladies in waiting /,"Blum, Alan, M.D.","Paper Souvenir,",2009.,[16] p. : ill. ;,,Paper Souvenir Press.,SOUTHERNCV PS3602 .L86 L33 2009
[Ragland birds /,"Sampson, Mary Ann.","Mary Ann Sampson,",1994],[4] p. : all col. ill. ;,,,SOUTHCV-OV N7433.4 .S25 R345 1994
